beneficiary_profile_key;Sexo;Rango Edad;Grupo Etnico;Presenta Discapacidad;Zona Ubicacion Beneficiario;Tipo de Beneficiario;Pais Nacimiento
319;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ARGENTINA
320;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);SI;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
321;H;6 MESES - 5 AÑOS;PALENQUERO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
322;M;6 MESES - 5 AÑOS;PALENQUERO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
323;H;0-6 MESES;PALENQUERO (A);NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
324;M;0-6 MESES;PALENQUERO (A);NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
325;M;0-6 MESES;PALENQUERO (A);NO;RESTO;MENOR DE SEIS MESES;COLOMBIA
326;M;0-6 MESES;PALENQUERO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
327;M;14 - 17 AÑOS;PALENQUERO (A);NO;RESTO;PERSONA GESTANTE;COLOMBIA
328;M;MAYOR A 18 AÑOS;PALENQUERO (A);NO;RESTO;PERSONA GESTANTE;COLOMBIA
329;M;6 - 8 AÑOS;INDÍGENA;NO;RESTO;NIÑO O NIÑA DE 6 AÑOS A 9 AÑOS, 11 MESES, 29 DAS;COLOMBIA
330;H;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;ADULTOS DE 29 A 39 AÑOS;COLOMBIA
331;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;URUGUAY
332;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;GUYANA
333;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;VENEZUELA
334;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESTADOS UNIDOS
335;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;BRASIL
336;I;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;COLOMBIA
337;M;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
338;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CANADA
339;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;ECUADOR
340;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ALEMANIA
