service_unit_key;Codigo Unidad Servicio;Unidad Servicio;Estado UDS
373;500100102794;JI BC SANTO DOMINGO;ACTIVA
374;500100103092;CI BELLA INFANCIA;ACTIVA
375;500100103124;CI UAM BRISAS DEL JARDIN;ACTIVA
376;500100103224;CI CAPULLITO;ACTIVA
377;500100103329;CI LA LIBERTAD;ACTIVA
378;500100103497;CI UAM CUMBERLAND;ACTIVA
379;500100103499;CI INFANCIA FELIZ;ACTIVA
380;500100103578;CI SAN BLAS;ACTIVA
381;500100103579;CI SAN JOSE LA CIMA II;ACTIVA
382;500100103624;CI UAM POPULAR 2;ACTIVA
383;500100103703;CI LAS COMETAS;ACTIVA
384;500100103958;CI LA MAGIA DE APRENDER;ACTIVA
385;500100103975;CI FAN EL EDEN;ACTIVA
386;500100103985;CI FAN LUCILA JARAMILLO;ACTIVA
387;500100103996;CI PEQUEÑOS EXPLORADORES A;ACTIVA
388;500100104041;JI BC MORAVIA MAMA CHILA;ACTIVA
389;500100109051;MANITAS TRAVIESAS 2;ACTIVA
390;500100109138;MIS PEQUEÑOS SABIOS 1;ACTIVA
391;500100109530;LAPICITOS DORADOS;ACTIVA
392;500100109531;CARITAS ALEGRES;ACTIVA
393;500100109532;PICARDIAS;ACTIVA
394;500100110544;HCB TRAVESURAS;ACTIVA
395;500100112498;NIÑOS DEL FUTURO;ACTIVA
396;500100113432;CI UAM MANRIQUE CENTRAL;ACTIVA
397;500100113539;ESC HERMANA ALCIRA CASTRO OSORIO;ACTIVA
398;500100113567;CI MI CASA AZUL;ACTIVA
399;500100113583;CI SANTO DOMINGO;ACTIVA
400;500100116063;LAS TORTUGAS;ACTIVA
401;500100117359;CI CAMINO DE COLORES;ACTIVA
402;500100117360;CI MI ALEGRE PORVENIR;ACTIVA
403;500100117365;CI GOTAS DE AMOR 2;ACTIVA
404;500100117372;JI BC LOS MANANTIALES;ACTIVA
405;500100117527;CI PICARDIAS;ACTIVA
406;500100117529;CI SAN PABLO;ACTIVA
407;500100117541;CI ARANJUEZ BERLIN;ACTIVA
408;500100117548;CI GOTICAS DE AMOR;ACTIVA
409;500100118464;CARITAS FELICES;ACTIVA
410;500100121824;LA NUEVA ESTRELLA;ACTIVA
411;500100122477;OVEJITAS DE MAMA;ACTIVA
412;500100122543;CI CAMPANILLAS;ACTIVA
413;500100122551;CI UAM PABLO VI 2;ACTIVA
414;500100123069;JI BC VERSALLES MARTA LILIANA HERRERA REYES;ACTIVA
415;500100130795;PITUFOS 2;ACTIVA
416;500100133562;ABEJITAS ALEGRES;ACTIVA
417;500100133646;AMABLES CRIATURAS;ACTIVA
418;500100135142;LOS BAMBIS;ACTIVA
419;500100135154;PEQUEÑOS TRAVIESOS;ACTIVA
